type,entry_time,entry_price,sl,tp,lots,spread,profit,exit_time,exit_price,reason,commission
SELL,2025-06-19 07:00:00+00:00,3373.499999059163,3395.119920934163,3330.260155309163,4.7041830597116835e-05,0.0,-101.7040702366642,2025-06-19 10:00:00+00:00,3395.119920934163,STOP_LOSS,0.0
SELL,2025-06-19 12:00:00+00:00,3388.999999089624,3411.119872136499,3344.760252995874,4.551880985977134e-05,0.0,6.372184716817237,2025-06-20 17:00:00+00:00,3387.60009765625,SIGNAL_EXIT,0.0
SELL,2025-06-24 07:00:00+00:00,3338.6999504846226,3368.0198235314974,3280.0602043908725,3.436261515197963e-05,0.0,-8.934617873507255,2025-06-25 05:00:00+00:00,3341.300048828125,SIGNAL_EXIT,0.0
SELL,2025-06-25 14:00:00+00:00,3328.1999499792028,3345.079930447953,3294.4399890417026,5.963360288780342e-05,0.0,-100.66140520273207,2025-06-25 16:00:00+00:00,3345.079930447953,STOP_LOSS,0.0
SELL,2025-06-25 17:00:00+00:00,3348.800047705881,3366.5599598152558,3313.280223487131,5.6112209642129354e-05,0.0,3.3672742521651062,2025-06-25 20:00:00+00:00,3348.199951171875,SIGNAL_EXIT,0.0
SELL,2025-06-26 19:00:00+00:00,3347.100096686518,3367.6601064521433,3305.980077155268,4.848658392171509e-05,0.0,199.37692778645123,2025-06-27 03:00:00+00:00,3305.980077155268,TAKE_PROFIT,0.0
SELL,2025-06-27 07:00:00+00:00,3306.899901399627,3328.439940462127,3263.819823274627,4.720615077625992e-05,0.0,203.3644663421807,2025-06-29 22:00:00+00:00,3263.819823274627,TAKE_PROFIT,0.0
SELL,2025-06-30 07:00:00+00:00,3302.999999150565,3327.41996985369,3254.160057744315,4.247174539862971e-05,0.0,11.467160268362603,2025-06-30 09:00:00+00:00,3300.300048828125,SIGNAL_EXIT,0.0
SELL,2025-07-07 07:00:00+00:00,3318.6999501969426,3339.9999990250676,3276.0998525406926,4.874662507819977e-05,0.0,-103.83054943719577,2025-07-07 17:00:00+00:00,3339.9999990250676,STOP_LOSS,0.0
SELL,2025-07-08 16:00:00+00:00,3307.1999501699997,3327.719920873125,3266.16000876375,5.0093757651988026e-05,0.0,-54.60293465471471,2025-07-09 18:00:00+00:00,3318.10009765625,SIGNAL_EXIT,0.0
SELL,2025-07-15 19:00:00+00:00,3336.1000967224945,3358.0000967224946,3292.3000967224943,4.6687769222044136e-05,0.0,-48.08749478770884,2025-07-16 12:00:00+00:00,3346.39990234375,SIGNAL_EXIT,0.0
SELL,2025-07-17 12:00:00+00:00,3329.499998868015,3347.479979336765,3293.540037930515,5.659924927353076e-05,0.0,-101.76533964839957,2025-07-17 22:00:00+00:00,3347.479979336765,STOP_LOSS,0.0
SELL,2025-07-24 08:00:00+00:00,3372.600096430608,3389.040086664983,3339.720115961858,6.128208400103451e-05,0.0,201.4953725038317,2025-07-25 12:00:00+00:00,3339.720115961858,TAKE_PROFIT,0.0
SELL,2025-07-25 13:00:00+00:00,3341.8000475355093,3357.699998707384,3310.000145191759,6.463078965847894e-05,0.0,205.52527995390838,2025-07-28 13:00:00+00:00,3310.000145191759,TAKE_PROFIT,0.0
SELL,2025-07-28 14:00:00+00:00,3300.6999501610944,3321.4399403954694,3259.2199696923444,5.0539027064132875e-05,0.0,-104.81789277649297,2025-07-29 08:00:00+00:00,3321.4399403954694,STOP_LOSS,0.0
SELL,2025-07-29 09:00:00+00:00,3323.899901020155,3339.579881488905,3292.539940082655,6.617974687885598e-05,0.0,15.220040449437999,2025-07-29 13:00:00+00:00,3321.60009765625,SIGNAL_EXIT,0.0
